,hash,commit,date
0,d274c33a679b96f638f6b6d14abb2472dd3fc2ac,"Merge tag 'android-11.0.0_r32' into staging/lineage-18.1_merge-android-11.0.0_r32

Android 11.0.0 Release 32 (RQ2A.210305.006)

* tag 'android-11.0.0_r32':
  Allow CBR when device owners is set up
  DO NOT MERGE Revert ""Set fixed fps when ambient or display brightness is high""
  DO NOT MERGE Revert ""Allow DeviceConfig to change display settings for high zone""
  Protect account chooser activities against overlay.
  DO NOT MERGE: Disable StrictMode VM Policy check.
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Copy the list before passing to deliverAlarms
  Import translations. DO NOT MERGE ANYWHERE
  MediaRouterService binds services when necessary
  DO NOT MERGE add android.permission.STATUS_BAR for cellbroadcastreceiver
  multiple users support for carrier wifi provisioning
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  DO NOT MERGE port power tap gesture logs to new standard
  Import translations. DO NOT MERGE ANYWHERE
  Add package name when initializing SoundPool.
  DO NOT MERGE Correctly reset cross-profile app-op
  Add mediametrics enum for MediaExtractor usage
  Import translations. DO NOT MERGE ANYWHERE
  Adding logging for the ML mBack gesture model.
  Import translations. DO NOT MERGE ANYWHERE
  Removes undesirable invokation of checkUriPermission
  Don't change the voice interactor setting if it's explicitly unset.
  Make low storage notification PendingIntent immutable
  Bluetooth: Check state correctly when client wants to bind
  Automatically dismiss SIM combination warnings and selection dialogs.
  Fix sharing shortcuts not showing for Work Profile.
  [GraphicsEnvironment] Avoid null access.
  Clear fixed rotation if rotated recents activity becomes top
  Expose MediaExtractor entry point to MediaMetrics
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Move phone ID to extra for action provision
  Combine uids for CpuTimePerUidFreq atom
  Update Visualizer implementation after changes in AudioEffect
  Extend Battery Defender strings chars limit
  add permission check for exported activity
  Send DROPBOX_ENTRY_ADDED to all users
  Add rotary highlight to switches
  Grant CHANGE_DEVICE_IDLE_TEMP_WHITELIST to call log provider.
  Fix issue with saving protos to disk during shutdown.
  Import translations. DO NOT MERGE ANYWHERE
  Update rotary highlight on bordered buttons
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Migrate media output switcher metrics - 1/n
  Use per-user Shell UID for adoptShellPermissionIdentity().
  AudioService: increase audio mode timeout.
  [SettingsProvider] fix font size scale validator
  [SettingsProvider] fix font size scale validator
  Make AOD battery text field support BatteryDefender
  [SettingsProvider] fix font size scale validator
  [SettingsProvider] fix font size scale validator
  Revert ""Ignore to show splash screen if the decorView is not opaque""
  Check isOnScreen for wallpaper target of recents animation
  Allow the System UID to unregister ConnDiags CBs.
  Filter conversation list by current users
  Fix pixel buds icon is empty in output switcher
  [DO NOT MERGE] Fixes CompanionDeviceManagerTest
  DO NOT MERGE Use round highlight for navigation buttons
  [DO NOT MERGE]Fix IndexOutOfBoundsException for TDA stack
  Do not allow non-system dialogs on UsbConfirmAct
  Import translations. DO NOT MERGE ANYWHERE
  Update link for Permissions samples in Javadoc
  Fix wrong target launches in Chooser.
  Import translations. DO NOT MERGE ANYWHERE
  Add back enforceReadPermission for getmetadata
  Import translations. DO NOT MERGE ANYWHERE
  Update CPA startActivity javadoc to refer to passing the result back
  Update SystemUI and SettingsLib battery defender strings
  Import translations. DO NOT MERGE ANYWHERE
  Apply animation for Media Ouput Switcher dialog
  Add dynamic item in output switcher if it is available
  Fix NPE when notification icon is empty
  Fix output switcher didn't show album art
  Add dynamic group operation in output switcher
  Enhancement for group operation in output switcher
  Add dismiss timing for Media Output Dialog
  Update OutputSwitcher from SettingsPanel to MediaOutputDialog in SystemUI
  Add constant for dismiss Settings panel
  Add animation when switching output device
  Add dismiss intent and method for MediaOutputDialog
  Add ""Stop"" button for remote device
  Add constant for dialog dismiss
  Rename MediaOutDialogReceiver to MediaOutputDialogReceiver
  Add getFeatures() for get device supporting features
  Add a receiver to launch Output Switcher dialog
  Add MediaOutputDialogFactory to create MediaOutputDialog
  Add Media Output Dialog for Output Switcher
  Add controller for Media operation
  Add MediaOutputAdapter for Media device list
  Define strings for output switcher dialog in SystemUI
  Add image utility methods
  Import translations. DO NOT MERGE ANYWHERE
  docs: Mention app query filters on Android 11
  Add new carrier config option for enabling SIP PUBLISH of RCS caps
  Camera: Document behavior when cropRegion and zoomRation conflict
  Use current fullscreen opaque window as insets control target
  Make the visibility of rotated insets up-to-date
  Allow DeviceConfig to change display settings for high zone
  Set fixed fps when ambient or display brightness is high
  Add FakeSettingsProviderRule class
  DO NOT MERGE: Add constant for Output Switcher to start Bluetooth paring page
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Fix ConcurrentModification in onUidStateChanged
  Import translations. DO NOT MERGE ANYWHERE
  Add ART optimization dimension to reportFullyDrawn
  Import translations. DO NOT MERGE ANYWHERE
  Make sure we preserve preserveLegacyExternalStorage.
  Add Null check for mView.findFocus() in ViewRootImpl
  DO NOT MERGE: Enable ENABLE_DYNAMIC_PERMISSIONS depending on MediaProvider.
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Ensure insets state for dispatch is processed by policy
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  RESTRICT AUTOMERGE Ensure caller identity is restored in CP quick-path.
  RESTRICT AUTOMERGE Ensure caller identity is restored in CP quick-path.
  RESTRICT AUTOMERGE Ensure caller identity is restored in CP quick-path.
  Move all BluetoothCodecConfig and BluetoothCodecStatus APIs moved from the non-SDK API list to the blocklist in Android 11 back to the non-SDK API list.
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  DO NOT MERGE: Disable ENABLE_DYNAMIC_PERMISSIONS without helper method.
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Allow only preloaded voice recognition services to blame calling apps.
  Fix unique identifiers best practices links in device ID API docs
  Allow self blames to be trusted
  Add permissions to car shell
  Add READ_DREAM_STATE to the settings list
  Move handleCompleteDeferredRemoval to animator thread
  Add Battery Defender strings to SystemUI and SettingsLib
  Fix potential deadlock in shutdown in HistoricalRegistry
  Ensure caller identity is restored in CP quick-path.
  DO NOT MERGE: Associate notif cancels with notif posts
  Controls UI - RTL for input pin/password
  DO NOT MERGE Update bottom huns container to use HeadsUpContainerView
  Delete orphaned staging directories for staged session on reboot
  Clean up staged session data on validation failure
  Import translations. DO NOT MERGE ANYWHERE
  Run error callback when BiometricPrompt dismissed early
  Do let IME fit invisible insets
  Fix AccessibilityService#getWindows time out
  Add flag to get the name of the Model file from the flag in case we want to try out different models. In addition, we should not log touches in the middle of the screen for logging so moving the block at the very beginning.
  Add package_name to log for debugging the back gesture model.
  Add log entries for the results for the ML model for the back gesture.
  Delete orphaned staging directories for staged session on reboot
  Clean up staged session data on validation failure
  Fix up some camera API javadocs
  Import translations. DO NOT MERGE ANYWHERE
  [DO NOT MERGE] Transition to clear state after gesture cancelation.
  [RESTRICT AUTOMERGE] Fix Keyboard shown after force stopped app package
  Do not power off display on lockNow() on automotive builds.
  Use ML model for the Back Gesture in EdgeBackGestureHandler.
  Allow voice recognition service to blame other apps access.
  Ignore GrantCredentials call with unexpected calling uid.
  Ignore GrantCredentials call with unexpected calling uid.
  Protect GrantCredentialsPermissionActivity against overlay.
  Revert ""Ignore GrantCredentials call with unexpected calling uid.""
  Protect GrantCredentialsPermissionActivity against overlay.
  BroadcastQueue: temporarily unfreeze for parallel broadcasts
  Fix the focus not move to the place where the finger clicks
  Propagate callingPackage explicitly within CDM
  Don't set timeout when showing CDM UI
  Fix anr when installing package
  Only log first input reader length
  [DO NOT MERGE] Make GlobalScreenshot PendingIntents immutable
  [DO NOT MERGE] Make GlobalScreenshot PendingIntents immutable
  [DO NOT MERGE] Make GlobalScreenshot PendingIntents immutable
  [DO NOT MERGE] Make GlobalScreenshot PendingIntents immutable
  [DO NOT MERGE] Make GlobalScreenshot PendingIntents immutable
  DO NOT MERGE Prevent isEnabled from mutating state
  FileBridge: fix fd ownership mismanagement.
  Ignore GrantCredentials call with unexpected calling uid.
  Add disconnect message constant Bug: b/171255813 Test: make Change-Id: Ia300b12ecf7d0c1d7d057b48a801b2928354315e
  iorap: Add a DEBUG guide on IORap debugging log.
  Check that Account Parcel has name and type.
  Ignore GrantCredentials call with unexpected calling uid.
  Fix non-dismissible resumption players.
  Grant access to the URI when forwarding intent from InstallStart to InstallInstalling
  Controls - Large ranges improperly calculated
  Ensure permissions are revoked on state changes
  Revoke permission on non-runtime -> runtime upgrade
  Revoke permission on non-runtime -> runtime upgrade
  Ensure permissions are revoked on state changes
  Revoke permission on non-runtime -> runtime upgrade
  Ensure permissions are revoked on state changes
  Revoke permission on non-runtime -> runtime upgrade
  Ensure permissions are revoked on state changes
  CPU time min threshold for CpuTimePerUidFreq
  docs: fix ""buidler"" typos in Typeface.Builder
  Reschedule the pre-reboot verification after boot completed.
  Prevent sessions from resuming once boot is completed
  Prevent extra sessions owned by staged install from living across restarts
  Prevent exceptions during staged install from crashing system server
  Prevent exceptions in pre-reboot verification from crashing system server
  Only use system gesture insets for exclusion rects with root ime view
  RESTRICT AUTOMERGE
  DO NOT MERGE: Only restore the positions of types which are controlled
  Do not allow uninstalling while an app is pinned
  CachedAppOptimizer: ensure binder is never frozen with app unfrozen
  Introduce INPUT_CONSUMER permission for InputConsumer
  Allow the network stack to read network stats history
  Add MediaMetrics support to MediaParser
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  DO NOT MERGE: Disable ENABLE_DYNAMIC_PERMISSIONS flag for now to avoid crashes.
  [DO NOT MERGE] Prevent extra sessions owned by staged install from living across restarts
  Prevent exceptions during staged install from crashing system server
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  DO NOT MERGE: Add conditions for Auto to isUserSetupComplete()
  Hide overlays over uninstall confirm dialog
  Hide overlays over uninstall confirm dialog
  RESTRICT AUTOMERGE Fix CDM package check
  RESTRICT AUTOMERGE Fix CDM package check
  RESTRICT AUTOMERGE Fix CDM package check
  RESTRICT AUTOMERGE Fix CDM package check
  Default dual tone alpha set to 0.3
  Prevent exceptions in pre-reboot verification from crashing system server
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Remove updateIntentVerificationStatusAsUser from ResolverActivity
  Avoid MotionEvent no finish raise unnecessary ANR
  Finish fixed rotation of recents if it is invisible
  Ignore to show splash screen if the decorView is not opaque
  Reland ""Distinguish warm/hot launch by whether the activity has attached process""
  Revert ""Distinguish warm/hot launch by whether the activity has attached process""
  Distinguish warm/hot launch by whether the activity has attached process
  Import translations. DO NOT MERGE ANYWHERE
  Makes the multi-touch prevention only works for editable TextView.
  Release ICloseHandle instance after announcement listener is unregistered
  initialized carrier_certificate_string_array to an empty array instead of null, so that when a certificate is removed, it is also removed in SubscriptionInfoUpdater#updateSubscriptionByCarrierConfig
  Cache network capabilities.
  Import translations. DO NOT MERGE ANYWHERE
  Mark deleteMessageFromIcc() as @UnsupportedAppUsage.
  Handle possible null PlaybackState
  Update require attention in stats pull service
  Change default value for face metrics
  docs: Use correct profile for intent
  Allow permission to change application state
  Import translations. DO NOT MERGE ANYWHERE
  Update ranking for uninflated updated notifs
  Make framework-res dep in stubs explicit
  Ignore orientation from invisible non-activity window
  Doc: Fix typo the right way. Supersedes cl/318172931
  remove sensitive pii from safetynet logging
  remove sensitive pii from safetynet logging
  remove sensitive pii from safetynet logging
  remove sensitive pii from safetynet logging
  remove sensitive pii from safetynet logging
  DO NOT MERGE: Revert ""Don't let IME window fit status bar""
  Notifications starting paused shall still be subject to timeout.
  Disable player's ""Dismiss"" button when notification is not dismissible.
  [DO NOT MERGE ] Stop setting flag to enable two-finger passthrough swipes.
  [DO NOT MERGE] Fix Accidently trigger A11y button long pressed
  [RESTRICT AUTOMERGE] Revert ""[RESTRICT AUTOMERGE] Revert ""Require permission to create trusted displays""""
  Typo in the sand icon shape
  Rememeber the last dark mode before shutdown when in auto mode
  Remove accidentally added diff file
  Remove SQLlite log
  [DO NOT MERGE] MultiFingerSwipe: scale touch slop to number of fingers.
  [DO NOT MERGE] Use correct touch slop value for two-finger passthrough.
  [DO NOT MERGE] Fix sometime couldn't trigger A11y button with 3-finger
  [DO NOT MERGE] Fix hardly to perform 3-finger swipe from the bottom
  [DO NOT MERGE] Fix edge swipe logic.
  [DO NOT MERGE] Require both fingers to move before starting two-finger passthrough.
  [DO NOT MERGE] Start dragging where the fingers initially went down.
  [DO NOT MERGE]  Address drag unreliability during touch exploration
  [DO NOT MERGE] Fix crash with multifinger touch exploration
  [DO NOT MERGE] Enable two-finger passthrough swipes.
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Import translations. DO NOT MERGE ANYWHERE
  Media player attempts to dismiss notifications when players removed.
  IdleMaint: run IdleMaint if battery is charging
  Update javadoc for setLaunchDisplayId
  DO NOT MERGE Revoke install permissions when the permission defining app is uninstalled.
  Revoke install permissions when the permission defining app is uninstalled.
  When logging ranking positions, use the number of displayed targets in calculating offset rather than the total number available.
  Flip ENABLE_DYNAMIC_PERMISSIONS, attempt #7.
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  Ignore non test package events for AppStandbyControllerTests
  Camera: Track native metadata allocations
  Allow notfication vibrations in DND
  RESTRICT AUTOMERGE Implement sendBroadcastAsUserMultiplePermissions in BridgeContext.
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  DO NOT MERGE Check fingerprint client against top activity in auth callback
  Notify AppOps when notifications are [un]blocked for an app.
  Validate user-supplied tree URIs in DocumentsProvider calls
  Fix storing the wrong value of mLockdown in setting
  Use shared libdrmframeworkcommon.
  [BACKPORT] Improve location checks in TelephonyRegistry
  [DO NOT MERGE][BACKPORT]Improve location checks in TelephonyRegistry
  Backport sendBroadcastAsUserMultiplePermissions to oc-dev
  [RESTRICT AUTOMERGE] Fix VrDisplayTest failure
  Backport sendBroadcastAsUserMultiplePermissions to oc-dev
  Make WallpaperMS bind wallpaper component PendingIntent immutable.
  Make WallpaperMS bind wallpaper component PendingIntent immutable.
  Make WallpaperMS bind wallpaper component PendingIntent immutable.
  Make WallpaperMS bind wallpaper component PendingIntent immutable.
  Make WallpaperMS bind wallpaper component PendingIntent immutable.
  Call DecorView.drawableChanged() in PhoneWindow.setBackgroungDrawable
  Fix the issue provider can be wrong when requesting slice permission
  Fix the issue provider can be wrong when requesting slice permission
  Fix the issue provider can be wrong when requesting slice permission
  Fix the issue provider can be wrong when requesting slice permission
  Do not re-initialize synthetic password
  Fix out of bound error of IncidentService
  Enforce permission checks in getting app exit reasons
  Validate user-supplied URIs in DocumentsProvider calls
  Revoke the uri permission when the file is deleted
  Revoke the uri permission when the file is deleted
  Revoke the uri permission when the file is deleted
  Revoke the uri permission when the file is deleted
  Revoke the uri permission when the file is deleted
  Protect bluetooth.device.action.ALIAS_CHANGED

Conflicts:
	core/java/com/android/internal/app/ChooserActivity.java
	packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java
	services/core/java/com/android/server/notification/NotificationManagerService.java

Change-Id: I898282ae459c97f9341dbfa18216045c072a98e5",2021-03-06 04:07:34-07:00
1,e388fe787e4400e4bc427b359b0d659746d34250,"Sharesheet: Set max ranked items to 8

This change makes sharesheet way more useful by increasing
amount of visible ranked apps in portrait mode from 4 to 8.

Change-Id: Ic092f1d1784259c9f3c0870eda1dd1ae8544c697",2021-03-06 15:08:07+01:00
2,b10457e10341b7813020e7d700abbcf66055c248,"Revert ""No need to 'addChild' when start 'FLAG_ACTIVITY_CLEAR_TOP' Activity.""

 * Seems to cause an issue that activity cannot be found
   after unlock for a short time.

This reverts commit 1a417250dcfa4f4a64d44cef8bd459d14ff9e5a6.

Change-Id: I9c55e0107eb730027c3c8c41afa4f582b6b65f5f",2021-03-14 00:49:18+01:00
3,5ca4149777ba5401a49e72ecab26daeba72cd401,"SystemUI: AmbientTile: Don't hardcode display settings intent

Change-Id: Ifaa69c2f235b85ae847524c81f0ba59e2a51cf01",2021-03-17 23:26:39+01:00
4,810cac874dea92f4ce88ef15d1bb2a4ea2ca81f8,"SystemUI: AmbientTile: Use SecureSetting to change doze setting

Change-Id: I7f004bcf45493130ad50faacb6e390cd640e53db",2021-03-17 23:26:40+01:00
5,4d3d8db45aa07e8bb1f0a4c401031dd0d1f7a9db,"SystemUI: AmbientTile: Actually start using SecureSetting

Change-Id: I5d94f6d2e596dbc6b44ae4f30f479d335a067661",2021-03-17 23:26:40+01:00
6,e928b5d031267a912efbe9e9888d36c42a5a111d,"SystemUI: SecureSetting: Allow specifying a non-zero default

* Some Setting while empty should be assumed to be
  non-zero by default ( ex AmbientDisplay )

Test: m
Change-Id: I44e1c4296be4e1a1f549d52d4dc0f5b2b7cef855",2021-03-18 10:53:31+01:00
7,d209b4106e3b48bcbb3ce3ed93f21f037a8f2195,"SystemUI: AmbientTile: Default the setting to 1

Change-Id: Idea9dda702fdbaa0e2836e7a2573aa57cf24449e",2021-03-18 10:53:35+01:00
8,d3943268592259421a5392bc0651161108530ca5,"Restore preferred activity filter if it not inside

If the current preferred activity has been restored, it will not be added  when restoring preferred activity

Bug: 170589675
Change-Id: Ie5aab1c738343c3a61bb2ae8bd62e1afb9fb5d47
(cherry picked from commit da90fd9871ee128a127e32280475279360c61f66)",2021-03-21 13:53:34+01:00
9,3de49ba59cecc365badb2e7193d3dbc8924be4e7,"Revert ""Restore preferred activity filter if it not inside""

This reverts commit da90fd9871ee128a127e32280475279360c61f66.

Reason for revert:

1-18 13:33:52.927  2356  2356 E System  : ******************************************
11-18 13:33:52.927  2356  2356 E System  : ************ Failure starting system services
11-18 13:33:52.927  2356  2356 E System  : java.lang.ArrayIndexOutOfBoundsException: length=2; index=2
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.PreferredComponent.sameSet(PreferredComponent.java:266)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.PreferredIntentResolver.shouldAddPreferredActivity(PreferredIntentResolver.java:63)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.Settings.readPreferredActivitiesLPw(Settings.java:1315)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.Settings.readPackageRestrictionsLPr(Settings.java:1686)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.Settings.readLPw(Settings.java:3032)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.PackageManagerService.<init>(PackageManagerService.java:3185)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.pm.PackageManagerService.main(PackageManagerService.java:2781)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.SystemServer.startBootstrapServices(SystemServer.java:970)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.SystemServer.run(SystemServer.java:704)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.server.SystemServer.main(SystemServer.java:444)
11-18 13:33:52.927  2356  2356 E System  : 	at java.lang.reflect.Method.invoke(Native Method)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
11-18 13:33:52.927  2356  2356 E System  : 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:946)
11-18 13:33:52.927  2356  2356 D SystemServerTiming: StartPackageManagerService took to complete: 158ms
11-18 13:33:52.927  2356  2356 E Zygote  : System zygote died with fatal exception
11-18 13:33:52.927  2356  2356 E Zygote  : java.lang.ArrayIndexOutOfBoundsException: length=2; index=2
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.PreferredComponent.sameSet(PreferredComponent.java:266)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.PreferredIntentResolver.shouldAddPreferredActivity(PreferredIntentResolver.java:63)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.Settings.readPreferredActivitiesLPw(Settings.java:1315)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.Settings.readPackageRestrictionsLPr(Settings.java:1686)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.Settings.readLPw(Settings.java:3032)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.PackageManagerService.<init>(PackageManagerService.java:3185)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.pm.PackageManagerService.main(PackageManagerService.java:2781)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.SystemServer.startBootstrapServices(SystemServer.java:970)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.SystemServer.run(SystemServer.java:704)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.server.SystemServer.main(SystemServer.java:444)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at java.lang.reflect.Method.invoke(Native Method)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
11-18 13:33:52.927  2356  2356 E Zygote  : 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:946)
11-18 13:33:52.927  2356  2356 D AndroidRuntime: Shutting down VM
11-18 13:33:52.927  2356  2356 E AndroidRuntime: *** FATAL EXCEPTION IN SYSTEM PROCESS: main
11-18 13:33:52.927  2356  2356 E AndroidRuntime: java.lang.ArrayIndexOutOfBoundsException: length=2; index=2
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.PreferredComponent.sameSet(PreferredComponent.java:266)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.PreferredIntentResolver.shouldAddPreferredActivity(PreferredIntentResolver.java:63)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.Settings.readPreferredActivitiesLPw(Settings.java:1315)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.Settings.readPackageRestrictionsLPr(Settings.java:1686)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.Settings.readLPw(Settings.java:3032)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.PackageManagerService.<init>(PackageManagerService.java:3185)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.pm.PackageManagerService.main(PackageManagerService.java:2781)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.SystemServer.startBootstrapServices(SystemServer.java:970)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.SystemServer.run(SystemServer.java:704)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.server.SystemServer.main(SystemServer.java:444)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
11-18 13:33:52.927  2356  2356 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:946)
11-18 13:33:52.928  2356  2356 E AndroidRuntime: Error reporting crash
11-18 13:33:52.928  2356  2356 E AndroidRuntime: java.lang.NullPointerException: Attempt to invoke interface method 'void android.app.IActivityManager.handleApplicationCrash(android.os.IBinder, android.app.ApplicationErrorReport$ParcelableCrashInfo)' on a null object reference
11-18 13:33:52.928  2356  2356 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$KillApplicationHandler.uncaughtException(RuntimeInit.java:156)
11-18 13:33:52.928  2356  2356 E AndroidRuntime: 	at java.lang.ThreadGroup.uncaughtException(ThreadGroup.java:1073)
11-18 13:33:52.928  2356  2356 E AndroidRuntime: 	at java.lang.ThreadGroup.uncaughtException(ThreadGroup.java:1068)
11-18 13:33:52.928  2356  2356 E AndroidRuntime: 	at java.lang.Thread.dispatchUncaughtException(Thread.java:2191)

Change-Id: I9c018f52c16dc6cf1a160db58e08fbeb42803af6",2021-03-21 13:53:34+01:00
