,hash,filename,diff,added_lines,deleted_lines,changed_methods
0,e388fe787e4400e4bc427b359b0d659746d34250,ChooserActivity.java,"@@ -2800,7 +2800,7 @@ public class ChooserActivity extends ResolverActivity implements
 
     @Override // ChooserListCommunicator
     public int getMaxRankedTargets() {
-        return getMaxTargetsPerRow();
+        return MAX_TARGETS_PER_ROW_LANDSCAPE;
     }
 
     @Override // ChooserListCommunicator
",1,1,ChooserActivity::getMaxRankedTargets
1,b10457e10341b7813020e7d700abbcf66055c248,ActivityStarter.java,"@@ -2023,6 +2023,13 @@ class ActivityStarter {
             final ActivityRecord top = targetTask.performClearTaskForReuseLocked(mStartActivity,
                     mLaunchFlags);
 
+            // The above code can remove {@code reusedActivity} from the task, leading to the
+            // {@code ActivityRecord} removing its reference to the {@code Task}. The task
+            // reference is needed in the call below to {@link setTargetStackAndMoveToFrontIfNeeded}
+            if (targetTaskTop.getTask() == null) {
+                targetTask.addChild(targetTaskTop);
+            }
+
             if (top != null) {
                 if (top.isRootOfTask()) {
                     // Activity aliases may mean we use different intents for the top activity,
",7,0,ActivityStarter::complyActivityFlags
2,5ca4149777ba5401a49e72ecab26daeba72cd401,AmbientDisplayTile.java,"@@ -1,6 +1,6 @@
 /*
  * Copyright (C) 2015 The CyanogenMod Project
- * Copyright (C) 2017 The LineageOS Project
+ * Copyright (C) 2017-2021 The LineageOS Project
  *
  * Licensed under the Apache License, Version 2.0 (the ""License"");
  * you may not use this file except in compliance with the License.
@@ -39,9 +39,6 @@ import javax.inject.Inject;
 public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
 
     private final Icon mIcon = ResourceIcon.get(R.drawable.ic_qs_ambient_display);
-
-    private static final Intent DISPLAY_SETTINGS = new Intent(""android.settings.DISPLAY_SETTINGS"");
-
     private final SecureSetting mSetting;
 
     @Inject
@@ -78,7 +75,7 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
 
     @Override
     public Intent getLongClickIntent() {
-        return DISPLAY_SETTINGS;
+        return new Intent(Settings.ACTION_DISPLAY_SETTINGS);
     }
 
     private void setEnabled(boolean enabled) {
",2,5,AmbientDisplayTile::getLongClickIntent
3,810cac874dea92f4ce88ef15d1bb2a4ea2ca81f8,AmbientDisplayTile.java,"@@ -69,8 +69,7 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
 
     @Override
     protected void handleClick() {
-        setEnabled(!mState.value);
-        refreshState();
+        mSetting.setValue(mState.value ? 0 : 1);
     }
 
     @Override
@@ -78,12 +77,6 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
         return new Intent(Settings.ACTION_DISPLAY_SETTINGS);
     }
 
-    private void setEnabled(boolean enabled) {
-        Settings.Secure.putInt(mContext.getContentResolver(),
-                Settings.Secure.DOZE_ENABLED,
-                enabled ? 1 : 0);
-    }
-
     @Override
     protected void handleUpdateState(BooleanState state, Object arg) {
         final int value = arg instanceof Integer ? (Integer) arg : mSetting.getValue();
",1,8,"AmbientDisplayTile::setEnabled, AmbientDisplayTile::handleClick"
4,4d3d8db45aa07e8bb1f0a4c401031dd0d1f7a9db,AmbientDisplayTile.java,"@@ -53,6 +53,12 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
         };
     }
 
+    @Override
+    protected void handleDestroy() {
+        super.handleDestroy();
+        mSetting.setListening(false);
+    }
+
     @Override
     public boolean isAvailable() {
         String name = Build.IS_DEBUGGABLE ? SystemProperties.get(""debug.doze.component"") : null;
@@ -67,6 +73,18 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
         return new BooleanState();
     }
 
+    @Override
+    public void handleSetListening(boolean listening) {
+        super.handleSetListening(listening);
+        mSetting.setListening(listening);
+    }
+
+    @Override
+    protected void handleUserSwitch(int newUserId) {
+        mSetting.setUserId(newUserId);
+        handleRefreshState(mSetting.getValue());
+    }
+
     @Override
     protected void handleClick() {
         mSetting.setValue(mState.value ? 0 : 1);
@@ -115,9 +133,4 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
                     R.string.accessibility_quick_settings_ambient_display_changed_off);
         }
     }
-
-    @Override
-    public void handleSetListening(boolean listening) {
-        // Do nothing
-    }
 }
",18,5,"AmbientDisplayTile::handleSetListening, AmbientDisplayTile::handleUserSwitch, AmbientDisplayTile::handleDestroy"
5,e928b5d031267a912efbe9e9888d36c42a5a111d,SecureSetting.java,"@@ -26,14 +26,13 @@ import com.android.systemui.statusbar.policy.Listenable;
 
 /** Helper for managing a secure setting. **/
 public abstract class SecureSetting extends ContentObserver implements Listenable {
-    private static final int DEFAULT = 0;
-
     private final Context mContext;
     private final String mSettingName;
+    private final int mDefaultValue;
 
     private boolean mListening;
     private int mUserId;
-    private int mObservedValue = DEFAULT;
+    private int mObservedValue;
 
     protected abstract void handleValueChanged(int value, boolean observedChange);
 
@@ -41,15 +40,22 @@ public abstract class SecureSetting extends ContentObserver implements Listenabl
         this(context, handler, settingName, ActivityManager.getCurrentUser());
     }
 
-    public SecureSetting(Context context, Handler handler, String settingName, int userId) {
+    protected SecureSetting(Context context, Handler handler, String settingName, int userId) {
+        this(context, handler, settingName, userId, 0);
+    }
+
+    public SecureSetting(Context context, Handler handler, String settingName, int userId,
+            int defaultValue) {
         super(handler);
         mContext = context;
         mSettingName = settingName;
+        mObservedValue = mDefaultValue = defaultValue;
         mUserId = userId;
     }
 
     public int getValue() {
-        return Secure.getIntForUser(mContext.getContentResolver(), mSettingName, DEFAULT, mUserId);
+        return Secure.getIntForUser(mContext.getContentResolver(), mSettingName, mDefaultValue,
+                mUserId);
     }
 
     public void setValue(int value) {
@@ -66,7 +72,7 @@ public abstract class SecureSetting extends ContentObserver implements Listenabl
                     Secure.getUriFor(mSettingName), false, this, mUserId);
         } else {
             mContext.getContentResolver().unregisterContentObserver(this);
-            mObservedValue = DEFAULT;
+            mObservedValue = mDefaultValue;
         }
     }
 
",12,6,"SecureSetting::getValue, SecureSetting::SecureSetting, SecureSetting::setListening, SecureSetting::SecureSetting"
6,d209b4106e3b48bcbb3ce3ed93f21f037a8f2195,AmbientDisplayTile.java,"@@ -17,6 +17,7 @@
 
 package com.android.systemui.qs.tiles;
 
+import android.app.ActivityManager;
 import android.content.Intent;
 import android.os.Build;
 import android.os.SystemProperties;
@@ -45,7 +46,8 @@ public class AmbientDisplayTile extends QSTileImpl<BooleanState> {
     public AmbientDisplayTile(QSHost host) {
         super(host);
 
-        mSetting = new SecureSetting(mContext, mHandler, Secure.DOZE_ENABLED) {
+        mSetting = new SecureSetting(mContext, mHandler, Secure.DOZE_ENABLED,
+                ActivityManager.getCurrentUser(), 1) {
             @Override
             protected void handleValueChanged(int value, boolean observedChange) {
                 handleRefreshState(value);
",3,1,AmbientDisplayTile::AmbientDisplayTile
7,d3943268592259421a5392bc0651161108530ca5,PreferredComponent.java,"@@ -254,6 +254,43 @@ public class PreferredComponent {
         return numMatch == NS;
     }
 
+    public boolean sameSet(PreferredComponent pc) {
+        if (mSetPackages == null || pc == null || pc.mSetPackages == null
+                || !sameComponent(pc.mComponent)) {
+            return false;
+        }
+        final int otherPackageCount = pc.mSetPackages.length;
+        final int packageCount = mSetPackages.length;
+        int numMatch = 0;
+        for (int i = 0; i < otherPackageCount; i++) {
+            boolean good = false;
+            for (int j = 0; j < packageCount; j++) {
+                if (mSetPackages[j].equals(pc.mSetPackages[j])
+                        && mSetClasses[j].equals(pc.mSetClasses[j])) {
+                    numMatch++;
+                    good = true;
+                    break;
+                }
+            }
+            if (!good) {
+                return false;
+            }
+        }
+        return numMatch == packageCount;
+    }
+
+    /** Returns true if the preferred component represents the provided ComponentName. */
+    private boolean sameComponent(ComponentName comp) {
+        if (mComponent == null || comp == null) {
+            return false;
+        }
+        if (mComponent.getPackageName().equals(comp.getPackageName())
+                && mComponent.getClassName().equals(comp.getClassName())) {
+            return true;
+        }
+        return false;
+    }
+
     public boolean isSuperset(List<ResolveInfo> query, boolean excludeSetupWizardPackage) {
         if (mSetPackages == null) {
             return query == null;
",37,0,"PreferredComponent::sameSet, PreferredComponent::sameComponent"
8,d3943268592259421a5392bc0651161108530ca5,PreferredIntentResolver.java,"@@ -22,6 +22,7 @@ import android.content.IntentFilter;
 import java.io.PrintWriter;
 
 import com.android.server.IntentResolver;
+import java.util.ArrayList;
 
 public class PreferredIntentResolver
         extends IntentResolver<PreferredActivity, PreferredActivity> {
@@ -45,4 +46,24 @@ public class PreferredIntentResolver
     protected IntentFilter getIntentFilter(@NonNull PreferredActivity input) {
         return input;
     }
+
+    public boolean shouldAddPreferredActivity(PreferredActivity pa) {
+        ArrayList<PreferredActivity> pal = findFilters(pa);
+        if (pal == null || pal.isEmpty()) {
+            return true;
+        }
+        if (!pa.mPref.mAlways) {
+            return false;
+        }
+        final int activityCount = pal.size();
+        for (int i = 0; i < activityCount; i++) {
+            PreferredActivity cur = pal.get(i);
+            if (cur.mPref.mAlways
+                    && cur.mPref.mMatch == (pa.mPref.mMatch & IntentFilter.MATCH_CATEGORY_MASK)
+                    && cur.mPref.sameSet(pa.mPref)) {
+                return false;
+            }
+        }
+        return true;
+    }
 }
",21,0,PreferredIntentResolver::shouldAddPreferredActivity
9,d3943268592259421a5392bc0651161108530ca5,Settings.java,"@@ -1410,8 +1410,7 @@ public final class Settings {
                 PreferredActivity pa = new PreferredActivity(parser);
                 if (pa.mPref.getParseError() == null) {
                     final PreferredIntentResolver resolver = editPreferredActivitiesLPw(userId);
-                    ArrayList<PreferredActivity> pal = resolver.findFilters(pa);
-                    if (pal == null || pal.size() == 0 || pa.mPref.mAlways) {
+                    if (resolver.shouldAddPreferredActivity(pa)) {
                         resolver.addFilter(pa);
                     }
                 } else {
",1,2,Settings::readPreferredActivitiesLPw
