,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,d9fdf7757f00d54aed67f4370e4479adf48e11af,core/java/com/android/internal/os/ZygoteInit.java,['void com.android.internal.os.ZygoteInit.preloadSharedLibraries()'],12,1,"[(191, 202, 12)]"
1,6445e9361550e1306d29713dd600481e125f88a8,core/java/com/android/internal/os/ZygoteInit.java,['void com.android.internal.os.ZygoteInit.preloadSharedLibraries()'],4,1,"[(191, 194, 4)]"
2,188a21cc8ac704f36fd3f2984b4da86307ab7949,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,['void com.android.systemui.statusbar.policy.MobileSignalController.dump(PrintWriter)'],1,1,"[(868, 868, 1)]"
3,3454c1e1aa1d155fe2246ce2627cf58e934397e9,services/core/java/com/android/server/audio/AudioDeviceInventory.java,"['void com.android.server.audio.AudioDeviceInventory.handleBluetoothA2dpActiveDeviceChangeExt(BluetoothDevice,int,int,boolean,int)']",49,1,"[(574, 622, 49)]"
4,3454c1e1aa1d155fe2246ce2627cf58e934397e9,services/core/java/com/android/server/am/ActivityManagerConstants.java,[],3,1,"[(35, 37, 3)]"
5,a97ca47ee3713a075711c311c49e3951264007ef,location/java/android/location/LocationManager.java,['boolean android.location.LocationManager.addGpsStatusListener(Listener)'],2,1,"[(1780, 1781, 2)]"
6,9caf34febf01086c96266e38d024f7a0315b892d,services/core/java/com/android/server/Watchdog.java,['void com.android.server.Watchdog.run()'],3,1,"[(609, 611, 3)]"
7,9caf34febf01086c96266e38d024f7a0315b892d,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,[],2,1,"[(182, 183, 2)]"
8,9caf34febf01086c96266e38d024f7a0315b892d,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPointPreference.java,['void com.android.settingslib.wifi.AccessPointPreference.bindFrictionImage(ImageView)'],2,1,"[(206, 207, 2)]"
9,9caf34febf01086c96266e38d024f7a0315b892d,wifi/java/android/net/wifi/ScanResult.java,[],3,1,"[(158, 160, 3)]"
10,9caf34febf01086c96266e38d024f7a0315b892d,telephony/java/android/telephony/SmsManager.java,['int android.telephony.SmsManager.getSubscriptionId()'],8,1,"[(985, 992, 8)]"
11,9caf34febf01086c96266e38d024f7a0315b892d,telephony/java/android/telephony/CarrierConfigManager.java,[],10,1,"[(3129, 3138, 10)]"
12,89cad5d93a5083474840e90d08d6e4aec5833932,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(16, 16, 1)]"
13,89cad5d93a5083474840e90d08d6e4aec5833932,packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java,[],1,1,"[(80, 80, 1)]"
14,89cad5d93a5083474840e90d08d6e4aec5833932,packages/SystemUI/src/com/android/systemui/doze/DozeService.java,['void com.android.systemui.doze.DozeService.onDestroy()'],4,1,"[(63, 66, 4)]"
15,89cad5d93a5083474840e90d08d6e4aec5833932,packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java,[],11,1,"[(71, 81, 11)]"
16,1eef3e1566be8570a0f7a856f12f8992f7d34824,services/core/java/com/android/server/BluetoothManagerService.java,"['void com.android.server.BluetoothManagerService.unbindBluetoothProfileService(int,IBluetoothProfileServiceConnection)', 'int com.android.server.BluetoothManagerService.ProfileServiceConnections.getProxyCount()']",12,2,"[(1236, 1240, 5), (1417, 1423, 7)]"
17,1eef3e1566be8570a0f7a856f12f8992f7d34824,core/java/android/bluetooth/BluetoothHeadset.java,['void android.bluetooth.BluetoothHeadset.doUnbind()'],13,2,"[(393, 397, 5), (1193, 1200, 8)]"
18,1eef3e1566be8570a0f7a856f12f8992f7d34824,packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java,"['void com.android.systemui.qs.tiles.HotspotTile.handleUpdateState(BooleanState,Object)']",7,1,"[(141, 147, 7)]"
19,1eef3e1566be8570a0f7a856f12f8992f7d34824,core/java/android/bluetooth/BluetoothHearingAid.java,[],31,1,"[(138, 168, 31)]"
20,f9f9f03acdeb05e6978feca02f6ef20ff57d06bc,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,"['void com.android.systemui.statusbar.policy.MobileSignalController.<init>(Context,Config,boolean,TelephonyManager,CallbackHandler,NetworkControllerImpl,SubscriptionInfo,SubscriptionDefaults,Looper)']",4,1,"[(124, 127, 4)]"
21,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/keyguard/CarrierTextController.java,[],1,1,"[(75, 75, 1)]"
22,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,telephony/java/com/android/internal/telephony/TelephonyProperties.java,[],30,1,"[(227, 256, 30)]"
23,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,services/core/java/com/android/server/am/ActivityManagerService.java,[],6,1,"[(552, 557, 6)]"
24,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/statusbar/StatusBarMobileView.java,[],1,1,"[(61, 61, 1)]"
25,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,[],10,1,"[(190, 199, 10)]"
26,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['long com.android.server.locksettings.LockSettingsService.setLockCredentialWithAuthTokenLocked(byte[],int,AuthenticationToken,int,int)']",2,1,"[(2663, 2664, 2)]"
27,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java,[],1,1,"[(52, 52, 1)]"
28,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/NetworkStack/src/android/net/dhcp/DhcpPacket.java,[],3,1,"[(317, 319, 3)]"
29,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,"['void com.android.systemui.qs.QSPanel.<init>(Context,AttributeSet)']",2,1,"[(120, 121, 2)]"
30,4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,services/core/java/com/android/server/audio/BtHelper.java,"['void com.android.server.audio.BtHelper.ScoClient.incCount(int)', 'void com.android.server.audio.BtHelper.ScoClient.decCount()', 'boolean com.android.server.audio.BtHelper.ScoClient.requestScoState(int,int)', 'boolean com.android.server.audio.BtHelper.isBluetoothScoOn()', 'boolean com.android.server.audio.BtHelper.ScoClient.requestScoState(int,int)']",12,5,"[(830, 834, 5), (878, 878, 1), (931, 934, 4), (429, 429, 1), (954, 954, 1)]"
31,b576b28ececdf87e488eaf196c28e48371784746,packages/SystemUI/src/com/android/keyguard/CarrierTextController.java,['void com.android.keyguard.CarrierTextController.updateCarrierText()'],1,1,"[(231, 231, 1)]"
32,b576b28ececdf87e488eaf196c28e48371784746,services/core/java/com/android/server/audio/AudioService.java,"['void com.android.server.audio.AudioService.adjustSuggestedStreamVolume(int,int,int,String,String,int)']",3,1,"[(1531, 1533, 3)]"
33,b576b28ececdf87e488eaf196c28e48371784746,services/core/java/com/android/server/audio/BtHelper.java,"['boolean com.android.server.audio.BtHelper.checkAndUpdatTwsPlusScoState(Intent,Integer)', 'boolean com.android.server.audio.BtHelper.isAudioPathUp()', 'void com.android.server.audio.BtHelper.updateTwsPlusScoState(BluetoothDevice,Integer)', 'boolean com.android.server.audio.BtHelper.ScoClient.requestScoState(int,int)', 'boolean com.android.server.audio.BtHelper.ScoClient.requestScoState(int,int)', 'boolean com.android.server.audio.BtHelper.ScoClient.requestScoState(int,int)']",126,4,"[(239, 307, 69), (893, 897, 5), (911, 954, 44), (972, 979, 8)]"
34,2b252c526c654de6d04ec0165b4b8f039b37f82b,packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java,[],5,1,"[(1112, 1116, 5)]"
35,2b252c526c654de6d04ec0165b4b8f039b37f82b,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,['void com.android.systemui.statusbar.policy.MobileSignalController.dump(PrintWriter)'],1,1,"[(817, 817, 1)]"
36,6e44ad255823e1b7f2b23386d61af655c19adb49,telephony/java/com/android/internal/telephony/ISmsImplBase.java,['int com.android.internal.telephony.ISmsImplBase.getSmsCapacityOnIccForSubscriber(int)'],1,1,"[(207, 207, 1)]"
37,6e44ad255823e1b7f2b23386d61af655c19adb49,services/core/java/com/android/server/Watchdog.java,['void com.android.server.Watchdog.run()'],1,1,"[(599, 599, 1)]"
38,6e44ad255823e1b7f2b23386d61af655c19adb49,services/core/java/com/android/server/net/NetworkPolicyManagerService.java,"['void com.android.server.net.NetworkPolicyManagerService.enqueueNotification(NetworkPolicy,int,long,ApplicationInfo)', 'void com.android.server.net.NetworkPolicyManagerService.enqueueNotification(NetworkPolicy,int,long,ApplicationInfo)']",2,2,"[(1340, 1340, 1), (1340, 1340, 1)]"
39,6e44ad255823e1b7f2b23386d61af655c19adb49,tests/net/java/com/android/server/ConnectivityServiceTest.java,"['void com.android.server.ConnectivityServiceTest.testNattSocketKeepalives()', 'void com.android.server.ConnectivityServiceTest.doTestNattSocketKeepalivesWithExecutor(Executor)', 'void com.android.server.ConnectivityServiceTest.doTestNattSocketKeepalivesWithExecutor(Executor)', 'void com.android.server.ConnectivityServiceTest.doTestNattSocketKeepalivesWithExecutor(Executor)', 'void com.android.server.ConnectivityServiceTest.doTestNattSocketKeepalivesWithExecutor(Executor)']",14,7,"[(4035, 4043, 9), (4050, 4051, 2), (0, 0, 0), (4189, 4189, 1), (0, 0, 0), (4051, 4051, 1), (4062, 4062, 1)]"
40,6e44ad255823e1b7f2b23386d61af655c19adb49,services/core/java/com/android/server/connectivity/NetworkNotificationManager.java,"['void com.android.server.connectivity.NetworkNotificationManager.showNotification(int,NotificationType,NetworkAgentInfo,NetworkAgentInfo,PendingIntent,boolean)']",2,1,"[(199, 200, 2)]"
41,6e44ad255823e1b7f2b23386d61af655c19adb49,services/core/java/com/android/server/wm/TaskTapPointerEventListener.java,"['void com.android.server.wm.TaskTapPointerEventListener.<init>(WindowManagerService,DisplayContent)']",53,2,"[(54, 56, 3), (62, 111, 50)]"
