,Conf_details,Conf_methods,Loc,Block,Loc_details
0,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)']",3,1,"[(1308, 1310, 3)]"
1,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['void com.android.settingslib.wifi.WifiEntryPreference.refresh()', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)']",16,4,"[(67, 69, 3), (142, 152, 11), (211, 211, 1), (217, 217, 1)]"
2,services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java,['void com.android.server.net.NetworkStatsSubscriptionsMonitor.onSubscriptionsChanged()'],2,1,"[(105, 106, 2)]"
3,core/java/android/app/ResourcesManager.java,[],2,1,"[(133, 134, 2)]"
4,services/core/java/com/android/server/audio/AudioService.java,['void com.android.server.audio.AudioService.SetModeDeathHandler.binderDied()'],2,1,"[(3715, 3716, 2)]"
5,packages/SettingsLib/src/com/android/settingslib/Utils.java,"['int com.android.settingslib.Utils.getWifiIconResource(int)', 'int com.android.settingslib.Utils.getWifiIconResource(int,int,boolean)']",23,2,"[(380, 380, 1), (386, 407, 22)]"
6,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(98, 98, 1)]"
7,services/core/java/com/android/server/am/CachedAppOptimizer.java,"['void com.android.server.am.CachedAppOptimizer.setAppCompactProperties()', 'void com.android.server.am.CachedAppOptimizer.init()']",73,1,"[(286, 358, 73)]"
8,core/tests/coretests/src/android/view/InsetsControllerTest.java,[],0,1,"[(0, 0, 0)]"
9,telephony/java/android/telephony/CellIdentityNr.java,[],0,1,"[(0, 0, 0)]"
10,core/java/android/bluetooth/BluetoothCodecConfig.java,[],15,1,"[(64, 78, 15)]"
11,services/core/java/com/android/server/connectivity/Vpn.java,['void com.android.server.connectivity.Vpn.LegacyVpnRunner.bringup()'],26,2,"[(51, 51, 1), (2798, 2822, 25)]"
