,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,64c414abd49acc8d488837ab90b51d822c23e66d,services/core/java/com/android/server/display/RampAnimator.java,[],2,1,"[(160, 161, 2)]"
1,64c414abd49acc8d488837ab90b51d822c23e66d,services/core/java/com/android/server/audio/BtHelper.java,"['void com.android.server.audio.BtHelper.receiveBtEvent(Intent)', 'boolean com.android.server.audio.BtHelper.isBluetoothAudioNotConnectedToEarbud()']",100,2,"[(472, 544, 73), (548, 574, 27)]"
2,15d9159eb00fb7fd92f9dc249af588f655fd8f66,services/tests/wmtests/src/com/android/server/wm/ActivityRecordTests.java,"['void com.android.server.wm.ActivityRecordTests.testImeInsetsFrozenFlag_noDispatchVisibleInsetsWhenAppNotRequest()', 'void com.android.server.wm.ActivityRecordTests.testInClosingAnimation_visibilityCommitted_hideSurface()', 'void com.android.server.wm.ActivityRecordTests.testInClosingAnimation_visibilityNotCommitted_doNotHideSurface()']",96,2,"[(134, 134, 1), (3081, 3175, 95)]"
3,15d9159eb00fb7fd92f9dc249af588f655fd8f66,services/core/java/com/android/server/pm/PackageManagerService.java,['void com.android.server.pm.PackageManagerService.loadPrivatePackagesInner(VolumeInfo)'],1,1,"[(25702, 25702, 1)]"
4,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutController.java,[],1,2,"[(270, 270, 1), (0, 0, 0)]"
5,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,packages/SystemUI/src/com/android/systemui/statusbar/connectivity/NetworkControllerImpl.java,[],1,1,"[(87, 87, 1)]"
6,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,services/core/java/com/android/server/display/LocalDisplayAdapter.java,['DisplayDeviceInfo com.android.server.display.LocalDisplayAdapter.LocalDisplayDevice.getDisplayDeviceInfoLocked()'],20,1,"[(606, 625, 20)]"
7,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,services/core/java/com/android/server/audio/AudioService.java,"['void com.android.server.audio.AudioService.<init>(Context,AudioSystemAdapter,SystemServerAdapter)']",10,1,"[(1054, 1063, 10)]"
8,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,services/core/java/com/android/server/audio/AudioDeviceInventory.java,"['int com.android.server.audio.AudioDeviceInventory.checkSendBecomingNoisyIntentInt(int,int,int)']",1,1,"[(1305, 1305, 1)]"
9,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,"['int com.android.settingslib.bluetooth.CachedBluetoothDevice.getmType()', 'boolean com.android.settingslib.bluetooth.CachedBluetoothDevice.isGroupDevice()', 'int com.android.settingslib.bluetooth.CachedBluetoothDevice.getGroupId()', 'void com.android.settingslib.bluetooth.CachedBluetoothDevice.setDeviceType(int)', 'boolean com.android.settingslib.bluetooth.CachedBluetoothDevice.isPrivateAddr()', 'boolean com.android.settingslib.bluetooth.CachedBluetoothDevice.isTypeUnKnown()']",49,1,"[(1390, 1438, 49)]"
