,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,8a29f70837623479e38b3ac2d7a0a589f739138e,services/core/java/com/android/server/am/ActivityManagerService.java,"['void com.android.server.am.ActivityManagerService.dumpStackTraces(String,ArrayList<Integer>,ArrayList<Integer>,ArrayList<Integer>)']",9,1,"[(4263, 4271, 9)]"
1,8a29f70837623479e38b3ac2d7a0a589f739138e,services/core/java/com/android/server/uri/UriGrantsManagerService.java,"['int com.android.server.uri.UriGrantsManagerService.checkGrantUriPermission(int,String,GrantUri,int,int)']",1,1,"[(1049, 1049, 1)]"
2,8a29f70837623479e38b3ac2d7a0a589f739138e,services/core/java/com/android/server/am/ActivityManagerDebugConfig.java,[],2,1,"[(59, 60, 2)]"
3,8a29f70837623479e38b3ac2d7a0a589f739138e,services/core/java/com/android/server/wm/DisplayContent.java,['Region com.android.server.wm.DisplayContent.calculateSystemGestureExclusion()'],31,2,"[(139, 141, 3), (5556, 5583, 28)]"
4,8a29f70837623479e38b3ac2d7a0a589f739138e,services/core/java/com/android/server/wm/AppWindowToken.java,['int com.android.server.wm.AppWindowToken.getHwGestureNavOptions()'],5,1,"[(3531, 3535, 5)]"
5,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/am/ActivityManagerService.java,[],0,1,"[(0, 0, 0)]"
6,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/ConnectivityService.java,['boolean com.android.server.ConnectivityService.NetworkStateTrackerHandler.maybeHandleNetworkMonitorMessage(Message)'],5,1,"[(2848, 2852, 5)]"
7,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/audio/AudioService.java,"['void com.android.server.audio.AudioService.VolumeStreamState.applyDeviceVolume_syncVSS(int,boolean)', 'void com.android.server.audio.AudioService.VolumeStreamState.applyAllVolumes()']",8,2,"[(5099, 5100, 2), (5140, 5145, 6)]"
8,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/wm/DisplayPolicy.java,"['void com.android.server.wm.DisplayPolicy.<init>(WindowManagerService,DisplayContent)']",12,1,"[(573, 584, 12)]"
9,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/wm/TaskSnapshotController.java,"['TaskSnapshot com.android.server.wm.TaskSnapshotController.snapshotTask(Task,boolean)']",6,1,"[(399, 404, 6)]"
10,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/location/GnssLocationProvider.java,[],1,1,"[(261, 261, 1)]"
11,13f9931b3efc9d414616343c606160b866ad3022,services/net/java/android/net/ip/IpServer.java,['boolean android.net.ip.IpServer.configureIPv4(boolean)'],3,1,"[(446, 448, 3)]"
12,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/UiModeManagerService.java,[],1,1,"[(51, 51, 1)]"
13,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/wm/TaskSnapshotPersister.java,['boolean com.android.server.wm.TaskSnapshotPersister.StoreWriteQueueItem.writeBuffer()'],10,1,"[(379, 388, 10)]"
14,13f9931b3efc9d414616343c606160b866ad3022,core/java/android/app/ActivityThread.java,['void android.app.ActivityThread.doGcIfNeeded()'],6,1,"[(2871, 2876, 6)]"
15,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/wm/WindowStateAnimator.java,['void com.android.server.wm.WindowStateAnimator.applyEnterAnimationLocked()'],6,1,"[(1418, 1423, 6)]"
16,13f9931b3efc9d414616343c606160b866ad3022,services/autofill/java/com/android/server/autofill/RemoteFillService.java,['int com.android.server.autofill.RemoteFillService.cancelCurrentRequest()'],11,1,"[(120, 130, 11)]"
17,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/pm/permission/PermissionManagerService.java,"['boolean com.android.server.pm.permission.PermissionManagerService.isPermissionsReviewRequired(Package,int)', 'boolean com.android.server.pm.permission.PermissionManagerService.isPermissionsReviewRequired(Package,int)']",5,2,"[(1918, 1920, 3), (1925, 1926, 2)]"
18,13f9931b3efc9d414616343c606160b866ad3022,services/core/java/com/android/server/wm/AppWindowToken.java,['int com.android.server.wm.AppWindowToken.getHwGestureNavOptions()'],5,1,"[(3510, 3514, 5)]"
