,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/notification/NotificationManagerService.java,"['void com.android.server.notification.NotificationManagerService.NotificationTrampolineCallback.toast(String,int)', 'void com.android.server.notification.NotificationManagerService.setSysMgrCfgMap(NotificationSysMgrCfg>)']",26,1,"[(12045, 12070, 26)]"
1,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/wm/WindowOrientationListener.java,[],6,1,"[(77, 82, 6)]"
2,d930441fe3e46c4f6957622c142e5c6668232974,libs/WindowManager/Shell/src/com/android/wm/shell/startingsurface/SplashscreenContentDrawer.java,['SplashScreenView com.android.wm.shell.startingsurface.SplashscreenContentDrawer.StartingWindowViewBuilder.build()'],8,1,"[(380, 387, 8)]"
3,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/am/ActivityManagerShellCommand.java,[],0,1,"[(0, 0, 0)]"
4,d930441fe3e46c4f6957622c142e5c6668232974,core/java/android/view/WindowManagerPolicyConstants.java,[],5,1,"[(38, 42, 5)]"
5,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/net/NetworkStatsService.java,[],1,1,"[(333, 333, 1)]"
6,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/inputmethod/InputMethodManagerService.java,"['void com.android.server.inputmethod.InputMethodManagerService.hideSoftInput(IInputMethodClient,IBinder,int,ResultReceiver,int,IBooleanResultCallback)', 'void com.android.server.inputmethod.InputMethodManagerService.showInputMethodPickerFromClient(IInputMethodClient,int,IVoidResultCallback)', 'void com.android.server.inputmethod.InputMethodManagerService.showInputMethodPickerFromSystem(IInputMethodClient,int,int,IVoidResultCallback)']",24,2,"[(3349, 3355, 7), (3831, 3847, 17)]"
7,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/policy/PhoneWindowManager.java,"['void com.android.server.policy.PhoneWindowManager.powerPress(long,int,boolean)']",5,1,"[(1309, 1313, 5)]"
8,d930441fe3e46c4f6957622c142e5c6668232974,telephony/java/android/telephony/CellSignalStrengthNr.java,"['void android.telephony.CellSignalStrengthNr.<init>(int,int,int,int,List<Byte>,int,int,int)']",10,1,"[(178, 187, 10)]"
9,d930441fe3e46c4f6957622c142e5c6668232974,services/core/java/com/android/server/wm/RecentsAnimation.java,"['void com.android.server.wm.RecentsAnimation.startRecentsActivity(IRecentsAnimationRunner,long)']",7,1,"[(247, 253, 7)]"
