,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/wm/WindowToken.java,"['void com.android.server.wm.WindowToken.assignLayer(Transaction,int)', 'Builder com.android.server.wm.WindowToken.makeSurface()']",5,2,"[(418, 419, 2), (428, 430, 3)]"
1,b0fa925d2daa2f44c00b158cc3afa57a1420b821,apex/jobscheduler/service/java/com/android/server/alarm/AlarmManagerService.java,['void com.android.server.alarm.AlarmManagerService.onStart()'],1,1,"[(1810, 1810, 1)]"
2,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/display/LogicalDisplayMapper.java,['void com.android.server.display.LogicalDisplayMapper.updateLogicalDisplaysLocked(DisplayDevice)'],6,1,"[(616, 621, 6)]"
3,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/wm/ActivityRecord.java,[],14,1,"[(532, 545, 14)]"
4,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/am/BroadcastQueue.java,"['void com.android.server.am.BroadcastQueue.processCurBroadcastLocked(BroadcastRecord,ProcessRecord)', 'void com.android.server.am.BroadcastQueue.performReceiveLocked(ProcessRecord,IIntentReceiver,Intent,int,String,Bundle,boolean,boolean,int)']",13,2,"[(358, 362, 5), (693, 700, 8)]"
5,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/audio/RotationHelper.java,['void com.android.server.audio.RotationHelper.publishRotation(int)'],5,2,"[(28, 31, 4), (173, 173, 1)]"
6,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/wm/StartingSurfaceController.java,"['StartingSurface com.android.server.wm.StartingSurfaceController.createTaskSnapshotSurface(ActivityRecord,TaskSnapshot)']",13,1,"[(202, 214, 13)]"
7,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/am/ActiveServices.java,['void com.android.server.am.ActiveServices.ServiceMap.rescheduleDelayedStartsLocked()'],11,1,"[(574, 584, 11)]"
8,b0fa925d2daa2f44c00b158cc3afa57a1420b821,telephony/java/android/telephony/SubscriptionManager.java,[],0,1,"[(0, 0, 0)]"
9,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/usb/java/com/android/server/usb/UsbDirectMidiDevice.java,"['void com.android.server.usb.UsbDirectMidiDevice.<init>(UsbDevice,UsbDescriptorParser,boolean,String)']",2,2,"[(207, 207, 1), (16, 16, 1)]"
10,b0fa925d2daa2f44c00b158cc3afa57a1420b821,core/java/android/hardware/display/DisplayManager.java,"['Display[] android.hardware.display.DisplayManager.getDisplays(String)', 'Display[] android.hardware.display.DisplayManager.getDisplays(String)']",9,2,"[(593, 598, 6), (603, 605, 3)]"
11,b0fa925d2daa2f44c00b158cc3afa57a1420b821,core/java/android/view/ViewRootImpl.java,"['void android.view.ViewRootImpl.<init>(Context,Display,IWindowSession,boolean)', 'void android.view.ViewRootImpl.performTransactionComplete()', 'void android.view.ViewRootImpl.performDraw()', 'void android.view.ViewRootImpl.performDraw()', 'void android.view.ViewRootImpl.beginTrace(long,Object)', 'void android.view.ViewRootImpl.endTrace(long)', 'String android.view.ViewRootImpl.generateReason(Object)']",127,4,"[(1247, 1285, 39), (5542, 5584, 43), (5683, 5691, 9), (13368, 13403, 36)]"
12,b0fa925d2daa2f44c00b158cc3afa57a1420b821,services/core/java/com/android/server/wm/ScreenRotationAnimation.java,"['void com.android.server.wm.ScreenRotationAnimation.<init>(DisplayContent,int)']",4,1,"[(242, 245, 4)]"
