,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,acb5b7bc5892f21ff74adb2829705008ac4eb86c,packages/SystemUI/src/com/android/systemui/ScreenDecorations.java,[],2,2,"[(108, 108, 1), (133, 133, 1)]"
1,acb5b7bc5892f21ff74adb2829705008ac4eb86c,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,[],0,1,"[(0, 0, 0)]"
2,acb5b7bc5892f21ff74adb2829705008ac4eb86c,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java,['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayoutTest.setUp()'],3,1,"[(144, 146, 3)]"
3,acb5b7bc5892f21ff74adb2829705008ac4eb86c,telephony/java/android/telephony/CarrierConfigManager.java,[],2,1,"[(3686, 3687, 2)]"
4,acb5b7bc5892f21ff74adb2829705008ac4eb86c,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],1,1,"[(263, 263, 1)]"
5,b7ff81acc796b2957f68c9412cef71b9b47e67de,services/core/java/com/android/server/display/AutomaticBrightnessController.java,"['void com.android.server.display.AutomaticBrightnessController.OmniSettingsObserver.update()', 'void com.android.server.display.AutomaticBrightnessController.OmniSettingsObserver.<init>(Handler)', 'void com.android.server.display.AutomaticBrightnessController.OmniSettingsObserver.onChange(boolean)', 'void com.android.server.display.AutomaticBrightnessController.OmniSettingsObserver.observe()', 'void com.android.server.display.AutomaticBrightnessController.<init>(Callbacks,Context,Looper,SensorManager,Sensor,BrightnessMappingStrategy,int,int,int,float,int,int,long,long,boolean,HysteresisLevels,HysteresisLevels,long,PackageManager)', 'int com.android.server.display.AutomaticBrightnessController.clampScreenBrightness(int)']",39,2,"[(222, 255, 34), (806, 810, 5)]"
6,b7ff81acc796b2957f68c9412cef71b9b47e67de,telephony/java/android/telephony/ServiceState.java,['String android.telephony.ServiceState.rilRadioTechnologyToString(int)'],1,1,"[(990, 990, 1)]"
7,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java,"['void com.android.systemui.screenshot.SaveImageInBackgroundTask.<init>(Context,SaveImageInBackgroundData,NotificationManager)', 'void com.android.systemui.screenshot.GlobalScreenshot.takeScreenshot(Runnable,boolean,boolean)']",15,4,"[(33, 34, 2), (139, 139, 1), (160, 169, 10), (635, 636, 2)]"
8,b7ff81acc796b2957f68c9412cef71b9b47e67de,services/core/java/com/android/server/notification/NotificationManagerService.java,[],8,1,"[(4200, 4207, 8)]"
9,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java,"['void com.android.systemui.statusbar.phone.ScrimController.updateScrims()', 'void com.android.systemui.statusbar.phone.ScrimController.onFinished(Callback)']",15,2,"[(590, 594, 5), (760, 769, 10)]"
10,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,['void com.android.systemui.statusbar.phone.StatusBar.makeStatusBarView(RegisterStatusBarResult)'],23,1,"[(1040, 1062, 23)]"
11,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,['void com.android.systemui.statusbar.phone.PhoneStatusBarPolicy.updateBluetooth()'],26,1,"[(397, 422, 26)]"
12,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,[],1,1,"[(53, 53, 1)]"
13,b7ff81acc796b2957f68c9412cef71b9b47e67de,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,[],0,1,"[(0, 0, 0)]"
14,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/classifier/brightline/BrightLineFalsingManager.java,[],2,4,"[(47, 48, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
15,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java,"['void com.android.systemui.statusbar.notification.stack.StackScrollAlgorithm.updatePulsingStates(StackScrollAlgorithmState,AmbientState)']",2,1,"[(504, 505, 2)]"
16,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/doze/DozeFactory.java,['DozeMachine com.android.systemui.doze.DozeFactory.assembleMachine(DozeService)'],1,1,"[(75, 75, 1)]"
17,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],1,1,"[(32, 32, 1)]"
18,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java,['void com.android.systemui.statusbar.phone.LockIcon.update(boolean)'],19,1,"[(231, 249, 19)]"
19,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitorCallback.java,['void com.android.keyguard.KeyguardUpdateMonitorCallback.onPulsing(boolean)'],3,1,"[(318, 320, 3)]"
20,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],0,2,"[(0, 0, 0), (0, 0, 0)]"
21,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,"['void com.android.systemui.statusbar.phone.StatusBar.startKeyguard()', 'void com.android.systemui.statusbar.phone.StatusBar.onCameraLaunchGestureDetected(int)']",2,2,"[(1270, 1270, 1), (3843, 3843, 1)]"
22,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java,['boolean com.android.systemui.keyguard.KeyguardSliceProvider.needsMediaLocked()'],4,2,"[(0, 0, 0), (232, 235, 4)]"
23,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationModeController.java,"['void com.android.systemui.statusbar.phone.NavigationModeController.OmniSettingsObserver.<init>(Handler)', 'void com.android.systemui.statusbar.phone.NavigationModeController.OmniSettingsObserver.onChange(boolean,Uri)']",14,1,"[(165, 178, 14)]"
24,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardSliceProviderTest.java,[],0,1,"[(0, 0, 0)]"
25,160034a542fd4cfe183b93b3a4888dc7c4f68b65,services/core/java/com/android/server/locksettings/LockSettingsService.java,"['VerifyCredentialResponse com.android.server.locksettings.LockSettingsService.checkCredential(byte[],int,int,ICheckCredentialProgressCallback)']",9,1,"[(1799, 1807, 9)]"
26,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java,[],0,1,"[(0, 0, 0)]"
27,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java,[],0,1,"[(0, 0, 0)]"
28,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/NotificationShelf.java,"['int com.android.systemui.statusbar.NotificationShelf.updateNotificationClipHeight(ActivatableNotificationView,float,int)', 'void com.android.systemui.statusbar.NotificationShelf.setIconTransformationAmount(ExpandableNotificationRow,float,float,boolean,boolean)']",5,2,"[(515, 516, 2), (755, 757, 3)]"
29,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java,[],2,1,"[(34, 35, 2)]"
30,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java,[],10,1,"[(136, 145, 10)]"
31,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java,[],2,1,"[(131, 132, 2)]"
32,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java,"['void com.android.systemui.statusbar.notification.row.wrapper.NotificationMediaTemplateViewWrapper.removeOnPreDrawListener()', 'void com.android.systemui.statusbar.notification.row.wrapper.NotificationMediaTemplateViewWrapper.startTimer()', 'void com.android.systemui.statusbar.notification.row.wrapper.NotificationMediaTemplateViewWrapper.addOnPreDrawListener()']",17,2,"[(72, 72, 1), (224, 239, 16)]"
33,160034a542fd4cfe183b93b3a4888dc7c4f68b65,telephony/java/android/telephony/DisconnectCause.java,['String android.telephony.DisconnectCause.toString(int)'],158,2,"[(336, 429, 94), (642, 705, 64)]"
34,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/qs/QSFragment.java,"['void com.android.systemui.qs.QSFragment.setQsExpansion(float,float)', 'QuickQSPanel com.android.systemui.qs.QSFragment.getQuickQsPanel()']",3,2,"[(333, 333, 1), (502, 503, 2)]"
35,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java,"['void com.android.systemui.statusbar.phone.NotificationPanelView.loadDimens()', 'boolean com.android.systemui.statusbar.phone.NotificationPanelView.onInterceptTouchEvent(MotionEvent)', 'void com.android.systemui.statusbar.phone.NotificationPanelView.onStateChanged(int)', 'boolean com.android.systemui.statusbar.phone.NotificationPanelView.shouldQuickSettingsIntercept(float,float,float)', 'void com.android.systemui.statusbar.phone.NotificationPanelView.launchCamera(boolean,int)', 'void com.android.systemui.statusbar.phone.NotificationPanelView.updateDoubleTapToSleep(boolean)', 'void com.android.systemui.statusbar.phone.NotificationPanelView.PanelExpansionListener.onPanelExpansionChanged(float,boolean)', 'boolean com.android.systemui.statusbar.phone.NotificationPanelView.isQsSecureExpandDisabled()', 'void com.android.systemui.statusbar.phone.NotificationPanelView.updateSettings()', 'void com.android.systemui.statusbar.phone.NotificationPanelView.PanelExpansionListener.onQsExpansionChanged(float)', 'void com.android.systemui.statusbar.phone.NotificationPanelView.setPulseReason(int)']",57,7,"[(45, 46, 2), (504, 505, 2), (923, 923, 1), (1425, 1428, 4), (1833, 1833, 1), (2862, 2864, 3), (3222, 3265, 44)]"
36,160034a542fd4cfe183b93b3a4888dc7c4f68b65,telephony/java/android/telephony/CarrierConfigManager.java,[],12,3,"[(847, 853, 7), (2334, 2337, 4), (3184, 3184, 1)]"
37,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/phone/DozeParameters.java,[],1,1,"[(37, 37, 1)]"
38,160034a542fd4cfe183b93b3a4888dc7c4f68b65,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.updateClipping()', 'void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.updateBackgroundBounds()']",6,3,"[(510, 510, 1), (1360, 1363, 4), (2537, 2537, 1)]"
