,Merge,Conf_files,Conf_javas,Conf_details,Loc,Loc_details
0,82ca638edd627c1b70aae1505f06c8ddaef731d2,1,1,['services/core/java/com/android/server/BluetoothManagerService.java'],5,[5]
1,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,16,14,"['packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java', 'services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java', 'core/java/android/app/ResourcesManager.java', 'services/core/java/com/android/server/audio/AudioService.java', 'packages/SettingsLib/src/com/android/settingslib/Utils.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'core/tests/coretests/src/android/view/InsetsControllerTest.java', 'telephony/java/android/telephony/CellIdentityNr.java', 'core/java/android/bluetooth/BluetoothCodecConfig.java', 'services/core/java/com/android/server/connectivity/Vpn.java', 'packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",177,"[8, 2, 0, 1, 11, 2, 0, 93, 1, 7, 10, 6, 34, 2]"
2,fd65619dfea934f9f1f28a80e9599e2d8e3e77f3,1,1,['services/core/java/com/android/server/wm/TaskDisplayArea.java'],1,[1]
3,784ecc8e9194775f58ad5a45422ed16570bcbee6,1,1,['services/core/java/com/android/server/wm/ActivityRecord.java'],1,[1]
4,2ac0c608ad88dc1f3372e099b5359013be7b14c7,1,1,['services/core/java/com/android/server/locksettings/LockSettingsService.java'],5,[5]
5,f6f595c8a4c17ed2347482c43e2cccc89531224e,5,5,"['packages/Tethering/src/com/android/networkstack/tethering/TetheringConfiguration.java', 'packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'packages/Tethering/src/com/android/networkstack/tethering/Tethering.java', 'packages/Tethering/src/android/net/ip/IpServer.java']",9,"[2, 2, 1, 2, 2]"
6,16b3016242e827fda9a012966efd91c9a6f99b80,2,1,['packages/Tethering/src/android/net/ip/IpServer.java'],2,[2]
7,1c4355c56d0cb5872be5b1f0b397f54e86822c7a,1,0,[],0,[]
8,e2769f8250366c5a1be9a1b8ba67f17268e6cdd2,1,0,[],0,[]
9,19ac51594dd13e5a2e702d2c50b290f1f71a9fc0,1,1,['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java'],11,[11]
10,e57c0a642086a0bb5c194764cf98068ea772a86d,1,1,['services/core/java/com/android/server/BluetoothManagerService.java'],2,[2]
11,ddc3dc79034f4570388245270b50ddad964c11f0,3,3,"['packages/Tethering/src/android/net/ip/IpServer.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'services/core/java/com/android/server/audio/AudioDeviceBroker.java']",7,"[6, 0, 1]"
12,a9736185db896fe2edde0281d71102b35327b7f8,4,4,"['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'core/java/android/app/ActivityManagerInternal.java']",31,"[12, 2, 4, 13]"
13,bb9ded46832af38a453b78b92ad2de32ef1cf845,3,3,"['telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/audio/AudioDeviceBroker.java']",20,"[7, 2, 11]"
14,21f5f0690d944268de9d3f082d41d4580e5f6c16,1,1,['services/core/java/com/android/server/ConnectivityService.java'],18,[18]
15,29c143c9ac800bdd15598250e6f2207f05c9a5b0,1,1,['services/core/java/com/android/server/audio/BtHelper.java'],22,[22]
16,89ca8eb6845aeb5da5c69c25c3fb5c31e0d827d7,1,1,['telephony/java/android/telephony/TelephonyManager.java'],3,[3]
17,94ad7689180978108cde82c6ea9557f0490fb2e1,1,0,[],0,[]
18,56b8036d49b44d68c526695fc307d05fe299f168,3,0,[],0,[]
19,c612890eae98c63cdd4c7a119c35c44257303230,1,0,[],0,[]
20,4986b8091f9beefea4189a5884e7a9edd7f53034,1,1,['packages/SystemUI/src/com/android/systemui/CornerHandleView.java'],2,[2]
21,dfd2f7fed77160af2c57edfa20f1768b42aaa8da,4,4,"['media/java/android/media/AudioSystem.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'services/core/java/com/android/server/audio/BtHelper.java']",37,"[30, 6, 1, 0]"
22,62f4dee264cabcd5595e6e4c0a6ab3228281d3e0,5,5,"['services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java', 'services/core/java/com/android/server/am/ActiveServices.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java']",30,"[22, 0, 5, 2, 1]"
23,32c3556fef45f3b7fb003880f4e23227cda95f74,1,1,['core/java/android/bluetooth/BluetoothAdapter.java'],1,[1]
24,69bee5bb55994d647b678b2cb2ce1becd3d77b32,2,2,"['services/core/java/com/android/server/wm/TaskDisplayArea.java', 'services/core/java/com/android/server/BluetoothManagerService.java']",13,"[3, 10]"
25,24f36fd2514856aaafe6a32a99050e272a6bd361,10,9,"['telephony/java/android/telephony/CellIdentityTdscdma.java', 'services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'core/java/android/view/ViewRootImpl.java', 'telephony/java/android/telephony/CellIdentityWcdma.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'telephony/java/android/telephony/CellIdentityLte.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'services/core/java/com/android/server/audio/BtHelper.java']",35,"[5, 1, 0, 5, 1, 5, 1, 17]"
26,df73284a33506ba26aadbd20a1dbd01353820200,9,6,"['core/java/android/app/ActivityManagerInternal.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'services/core/java/com/android/server/wm/DisplayContent.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'services/core/java/com/android/server/LocationManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",58,"[24, 25, 1, 2, 0, 6]"
27,c77ad764fad2451538f140b31601e7b8c6c59fa2,8,4,"['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/view/InputEventReceiver.java', 'services/core/java/com/android/server/location/GnssNetworkConnectivityHandler.java']",15,"[8, 5, 0, 2]"
28,6f47ceafbe6febe54aa5c376baed3415cdf848ad,6,6,"['packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'core/java/android/content/pm/ApplicationInfo.java', 'services/core/java/com/android/server/am/ProcessList.java', 'services/core/java/com/android/server/wm/ScreenRotationAnimation.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java']",51,"[43, 3, 0, 1, 1, 3]"
29,6aa497092f6337fbafb5b9858a3ec8f28c9d3caf,5,3,"['services/core/java/com/android/server/pm/PackageManagerService.java', 'core/java/android/os/Process.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",17,"[2, 11, 4]"
30,a33382db0bb0bc29bab84f1e5ee36d682bea593e,11,8,"['core/java/android/bluetooth/BluetoothAdapter.java', 'services/core/java/com/android/server/ConnectivityService.java', 'core/java/android/view/InsetsController.java', 'core/java/android/content/pm/ApplicationInfo.java', 'core/java/android/view/InsetsSourceConsumer.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'core/java/android/view/InsetsSourceControl.java']",94,"[6, 0, 42, 4, 1, 36, 2, 3]"
31,b6292e3e1ba3616eac1032737a91925391d94b92,7,5,"['services/core/java/com/android/server/Watchdog.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'services/core/java/com/android/server/statusbar/StatusBarManagerService.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",28,"[7, 1, 0, 0, 20]"
32,8faa0d981413f18b2468dde1b1fe71e248df0df1,20,15,"['wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'services/core/java/com/android/server/ConnectivityService.java', 'services/core/java/com/android/server/Watchdog.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'core/java/android/view/SurfaceControl.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'wifi/java/android/net/wifi/ScanResult.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",62,"[0, 10, 8, 1, 0, 1, 0, 0, 0, 0, 6, 4, 4, 26, 2]"
33,3d2fc559e13b7293212955f1858d443f4fe8234e,17,14,"['services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'services/core/java/com/android/server/ConnectivityService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'telecomm/java/android/telecom/Connection.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'telecomm/java/android/telecom/ConnectionService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'telecomm/java/android/telecom/Call.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java']",128,"[4, 11, 0, 23, 0, 1, 1, 2, 40, 11, 24, 8, 1, 2]"
