,Merge,Conf_files,Conf_javas,Conf_details,Loc,Loc_details
0,64c414abd49acc8d488837ab90b51d822c23e66d,2,2,"['services/core/java/com/android/server/display/RampAnimator.java', 'services/core/java/com/android/server/audio/BtHelper.java']",69,"[2, 67]"
1,15d9159eb00fb7fd92f9dc249af588f655fd8f66,3,3,"['services/tests/wmtests/src/com/android/server/wm/ActivityRecordTests.java', 'services/core/java/com/android/server/pm/PackageManagerService.java']",1,"[0, 1]"
2,26017c68ee11d3f2d54ca731119c8dc4ddb842cf,37,32,"['packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/connectivity/NetworkControllerImpl.java', 'services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'core/java/android/app/ContextImpl.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/carrier/QSCarrierGroupControllerTest.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsEnrollProgressBarDrawable.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialogController.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/wm/RootWindowContainer.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/connectivity/CallbackHandlerTest.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/NotificationPanelViewControllerTest.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java', 'services/tests/wmtests/src/com/android/server/wm/SizeCompatTests.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', 'services/core/java/com/android/server/wm/DisplayPolicy.java', 'services/core/java/com/android/server/display/DisplayManagerService.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialog.java', 'services/core/java/com/android/server/wm/WindowManagerService.java', 'services/core/java/com/android/server/wm/ActivityStarter.java', 'services/core/java/com/android/server/wm/ActivityTaskSupervisor.java', 'services/core/java/com/android/server/wm/ScreenRotationAnimation.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java', 'services/core/java/com/android/server/wm/Task.java', 'core/java/android/view/SurfaceControl.java', 'core/java/android/view/SurfaceView.java', 'packages/SystemUI/src/com/android/systemui/statusbar/connectivity/WifiSignalController.java']",119,"[1, 0, 0, 0, 1, 0, 1, 1, 7, 1, 0, 0, 1, 25, 9, 23, 0, 2, 31, 0, 0, 0, 1, 0, 0, 5, 0, 5, 0, 0, 4, 1]"
3,022e461c46ee3629d43ba134e977a0f3353c8782,2,2,"['packages/SystemUI/shared/src/com/android/systemui/shared/plugins/PluginManagerImpl.java', 'services/core/java/com/android/server/display/DisplayModeDirector.java']",23,"[0, 23]"
4,1aba3d5aacfa8a9ae30d9d8ae0229434c5e5f565,1,1,['services/core/java/com/android/server/wallpaper/WallpaperManagerService.java'],1,[1]
5,3e8cb98421761bb7dfafe59a22a15fe2e176f272,27,25,"['services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsEnrollProgressBarDrawable.java', 'packages/SystemUI/src/com/android/keyguard/LockIconViewController.java', 'services/tests/servicestests/src/com/android/server/display/DisplayModeDirectorTest.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsKeyguardViewController.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/tests/src/com/android/systemui/doze/DozeScreenBrightnessTest.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarTest.java', 'services/core/java/com/android/server/display/DisplayModeDirector.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/WifiStatusTracker.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsController.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'packages/SystemUI/tests/src/com/android/systemui/biometrics/UdfpsKeyguardViewControllerTest.java', 'packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardViewMediatorTest.java', 'core/java/android/service/wallpaper/WallpaperService.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/NotificationShadeWindowViewTest.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsEnrollHelper.java', 'packages/SystemUI/src/com/android/systemui/biometrics/UdfpsEnrollView.java', 'packages/SystemUI/src/com/android/keyguard/LockIconView.java', 'packages/SystemUI/src/com/android/systemui/biometrics/AuthController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeScreenBrightness.java']",368,"[8, 3, 1, 88, 2, 28, 12, 1, 6, 0, 28, 30, 2, 3, 21, 58, 26, 1, 4, 12, 6, 19, 4, 3, 2]"
6,48cbb14e1815430efd7ff5086e7a4c70e75d475f,1,1,['services/core/java/com/android/server/pm/PackageManagerService.java'],1,[1]
7,5c357c4fe61f3d66699b71d0dc43a1dc5e2ea331,5,5,"['core/java/com/android/ims/internal/uce/common/CapInfo.java', 'core/java/com/android/ims/internal/uce/presence/PresSipResponse.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'core/java/com/android/ims/internal/uce/presence/PresTupleInfo.java', 'core/java/com/android/ims/internal/uce/options/OptionsSipResponse.java']",13,"[11, 0, 2, 0, 0]"
8,b27a68d77e02edbe1ca69d8a1481c8349f9bb4c0,1,1,['core/java/android/bluetooth/BluetoothAdapter.java'],0,[0]
9,ab1e0271287465c071b9b6ba89e6845fd7161063,1,1,['services/core/java/com/android/server/am/CachedAppOptimizer.java'],2,[2]
