,Merge,Conf_files,Conf_javas,Conf_details,Loc,Block,Loc_details
0,a362a5abfe0dbcf48877c5b02d1a8da8d9c504c6,9,9,"['telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', 'packages/SystemUI/src/com/android/systemui/BatteryMeterView.java', 'services/tests/servicestests/src/com/android/server/display/DisplayModeDirectorTest.java', 'packages/SettingsLib/src/com/android/settingslib/fuelgauge/BatteryStatus.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryControllerImpl.java', 'services/core/java/com/android/server/display/DisplayModeDirector.java', 'packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', 'core/java/android/app/ActivityManagerInternal.java']",193,26,"[64, 6, 4, 0, 9, 4, 18, 86, 2]"
1,d1ffad806502fc4ff57f88b4eb543cc81fc601a1,9,7,"['packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java', 'packages/SettingsProvider/src/android/provider/settings/validators/SystemSettingsValidators.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'packages/SystemUI/src/com/android/systemui/Dependency.java', 'packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'services/core/java/com/android/server/pm/permission/PermissionManagerServiceInternal.java']",16,9,"[6, 1, 3, 1, 5, 0, 0]"
2,82ca638edd627c1b70aae1505f06c8ddaef731d2,1,1,['services/core/java/com/android/server/BluetoothManagerService.java'],3,1,[3]
3,24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,16,14,"['packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', 'core/java/android/bluetooth/BluetoothCodecConfig.java', 'core/tests/coretests/src/android/view/InsetsControllerTest.java', 'services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java', 'core/java/android/app/ResourcesManager.java', 'telephony/java/android/telephony/CellIdentityNr.java', 'services/core/java/com/android/server/connectivity/Vpn.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java', 'packages/SettingsLib/src/com/android/settingslib/Utils.java']",218,20,"[1, 15, 0, 2, 2, 73, 56, 1, 16, 2, 0, 26, 1, 23]"
4,2b1a920917d6b9235c008921845152448c7e5fc7,5,5,"['packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', 'services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",25,7,"[1, 2, 19, 2, 1]"
5,fd65619dfea934f9f1f28a80e9599e2d8e3e77f3,1,1,['services/core/java/com/android/server/wm/TaskDisplayArea.java'],1,1,[1]
6,35fa949362e35d8514c64a645b6448424f174c82,10,8,"['packages/SystemUI/src/com/android/systemui/CornerHandleView.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'packages/SystemUI/src/com/android/keyguard/CarrierTextController.java', 'core/java/android/app/ActivityManagerInternal.java']",119,16,"[2, 4, 3, 2, 2, 101, 3, 2]"
7,784ecc8e9194775f58ad5a45422ed16570bcbee6,1,1,['services/core/java/com/android/server/wm/ActivityRecord.java'],1,1,[1]
8,2ac0c608ad88dc1f3372e099b5359013be7b14c7,1,1,['services/core/java/com/android/server/locksettings/LockSettingsService.java'],9,1,[9]
9,f6f595c8a4c17ed2347482c43e2cccc89531224e,5,5,"['packages/Tethering/src/android/net/ip/IpServer.java', 'packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'packages/Tethering/src/com/android/networkstack/tethering/TetheringConfiguration.java', 'packages/Tethering/src/com/android/networkstack/tethering/Tethering.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java']",9,5,"[2, 0, 5, 1, 1]"
10,16b3016242e827fda9a012966efd91c9a6f99b80,2,1,['packages/Tethering/src/android/net/ip/IpServer.java'],2,1,[2]
11,1c4355c56d0cb5872be5b1f0b397f54e86822c7a,1,0,[],0,0,[]
12,e2769f8250366c5a1be9a1b8ba67f17268e6cdd2,1,0,[],0,0,[]
13,19ac51594dd13e5a2e702d2c50b290f1f71a9fc0,1,1,['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java'],11,1,[11]
14,e57c0a642086a0bb5c194764cf98068ea772a86d,1,1,['services/core/java/com/android/server/BluetoothManagerService.java'],9,1,[9]
