,filename,FinalDel,AccessibilityModify,HiddenApi,HiddenModify,ParameterListModifyDep,InnerExtensionClassUseDep,InheritExtension,ImplementExtension,AggregationExtensionInterfaceClassDep,InheritanceNative,ImplementNative,AggregationAOSPClassDep,PublicInterfaceUseDep,ReflectUse,Conflict_times
0,packages/SettingsLib/src/com/android/settingslib/location/SettingsInjector.java,,1.0,,,,,,,,,,,,,0
1,packages/SystemUI/src/com/android/keyguard/EmergencyButton.java,,1.0,,,,,,,,,,,3.0,,1
2,services/core/java/com/android/server/Watchdog.java,,1.0,,,,,,,,,,,2.0,,3
3,services/core/java/com/android/server/wm/ActivityStackSupervisor.java,,1.0,,,,,,,2.0,,,,4.0,,3
4,services/core/java/com/android/server/wm/RootWindowContainer.java,,1.0,,,,,,,,,,,,,0
5,telephony/java/android/telephony/CellIdentityTdscdma.java,,1.0,,,,,,,,,,,,,1
6,core/java/android/bluetooth/le/AdvertiseData.java,,,,,1.0,,,,,,,,,,0
7,core/java/android/bluetooth/le/ScanFilter.java,,,,,1.0,,,,,,,,,,0
8,core/java/android/bluetooth/le/ScanRecord.java,,,,,1.0,,,,,,,,,,0
9,packages/SettingsLib/src/com/android/settingslib/Utils.java,,,,,1.0,,,,,,,,1.0,,1
10,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPointPreference.java,,,,,2.0,,,,,,,,,,0
11,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,,,,,1.0,,,,,,,,1.0,,1
12,packages/SystemUI/src/com/android/systemui/qs/carrier/QSCarrierGroupController.java,,,,,1.0,,,,,,,,,,0
13,packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java,,,,,1.0,,,,,,,,,,1
14,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,,,,,1.0,,,,,,,,1.0,,6
15,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java,,,,,1.0,,,,,,,,,,1
16,packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java,,,,,1.0,,,,,,,,,,1
17,packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java,,,,,1.0,,,,,,,,,,1
18,services/core/java/com/android/server/audio/AudioDeviceInventory.java,,,,,1.0,,,,,,,,1.0,,3
19,services/core/java/com/android/server/connectivity/KeepaliveTracker.java,,,,,1.0,,,,,,,,,,0
20,services/core/java/com/android/server/WiredAccessoryManager.java,,,,,3.0,,,,,,,,2.0,,1
21,wifi/java/android/net/wifi/SoftApConfiguration.java,,,,,1.0,,,,,,,,,,4
22,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,,,,,,1.0,,,4.0,,,,18.0,,8
23,core/java/android/util/BoostFramework.java,,,,,,,,,41.0,,,,17.0,,0
